type,s,x,y,z,yaw,slope,curvature,segment_id,lon,lat
point,406.000,91.652,-33.071,12.956,1.72212688,0.07756231,0.00583141,203,113.936365614,22.539542811
point,408.000,91.377,-31.119,13.183,1.71178663,0.16388038,0.00064479,204,113.936362945,22.539560341
point,410.000,91.101,-29.186,13.599,1.77227339,0.23478115,0.02974765,205,113.936360252,22.539577705
point,412.000,90.601,-27.319,14.094,1.75412191,0.10256067,0.03904453,206,113.936355396,22.539594480
point,414.000,90.399,-25.404,13.994,1.80359582,-0.00296787,0.06288893,207,113.936353430,22.539611686
point,416.000,89.706,-23.543,14.082,1.85544318,0.18415716,0.03748015,208,113.936346688,22.539628401
point,418.000,89.329,-21.747,14.695,1.89888423,0.03974185,0.05966817,209,113.936343024,22.539644536
point,420.000,88.511,-20.034,14.230,1.83855975,-0.24978966,0.08820470,210,113.936335070,22.539659924
point,422.000,88.333,-18.117,13.755,1.86111971,-0.05173397,0.09807931,211,113.936333340,22.539677139
point,424.000,87.422,-16.387,14.033,2.05906998,0.17164826,0.00169520,212,113.936324475,22.539692680
point,426.000,86.510,-14.685,14.422,2.06157825,0.13675870,0.00045439,213,113.936315608,22.539707972
point,428.000,85.613,-13.001,14.558,2.07659406,0.08061089,0.00787231,214,113.936306875,22.539723098
point,430.000,84.639,-11.307,14.734,2.12165706,-0.06414017,0.01491258,215,113.936297412,22.539738316
point,432.000,83.590,-9.709,14.310,2.12937248,-0.27459403,0.01142222,216,113.936287205,22.539752674
point,434.000,82.649,-8.123,13.702,2.20446832,-0.08744074,0.04826812,217,113.936278056,22.539766922
point,436.000,81.375,-6.694,13.983,2.31625791,-0.06543899,0.00863229,218,113.936265660,22.539779757
point,438.000,80.081,-5.341,13.455,2.31806357,-0.30770131,0.00794648,219,113.936253077,22.539791912
point,440.000,78.868,-3.989,12.848,2.30449542,-0.29754273,0.00126101,220,113.936241282,22.539804059
point,442.000,77.607,-2.596,12.355,2.24569250,-0.27182802,0.03214096,221,113.936229008,22.539816569
point,444.000,76.629,-1.191,11.874,2.33277465,-0.24297183,0.07452222,222,113.936219502,22.539829195
point,446.000,75.183,-0.056,11.502,2.61380224,-0.21192679,0.06742701,223,113.936205438,22.539839383
point,448.000,73.425,0.677,11.088,2.73881510,0.09278164,0.00377237,224,113.936188337,22.539845976
point,450.000,71.747,1.408,11.849,2.63964155,0.19731114,0.04397379,225,113.936172018,22.539852535
point,452.000,70.096,2.505,11.837,2.55030362,0.02242943,0.00249388,226,113.936155957,22.539862389
point,454.000,68.500,3.588,11.936,2.56392401,-0.00707588,0.00927249,227,113.936140436,22.539872120
point,456.000,66.842,4.626,11.810,2.51263661,0.01255555,0.03577642,228,113.936124308,22.539881444
point,458.000,65.424,5.826,11.984,2.70777236,0.13636572,0.13262031,229,113.936110516,22.539892225
point,460.000,63.548,6.151,12.305,2.91296567,0.02425964,0.02782181,230,113.936092276,22.539895149
point,462.000,61.647,6.705,12.078,2.88078015,-0.15475657,0.01123479,231,113.936073781,22.539900120
point,464.000,59.742,7.167,11.695,2.82363881,0.03842618,0.04098793,232,113.936055255,22.539904275
point,466.000,58.034,7.894,12.224,2.89429159,0.30268104,0.07891808,233,113.936038646,22.539910800
point,468.000,56.253,8.048,12.784,3.07733639,0.04018272,0.01075141,234,113.936021321,22.539912188
point,470.000,54.338,8.132,12.373,3.03265898,-0.05765971,0.03217440,235,113.936002694,22.539912937
point,472.000,52.385,8.471,12.560,2.92433273,0.04111832,0.02270395,236,113.935983698,22.539915988
point,474.000,50.499,8.979,12.535,2.94403111,0.14148063,0.03328156,237,113.935965362,22.539920548
point,476.000,48.627,9.223,13.102,3.04435059,0.09881562,0.01643263,238,113.935947150,22.539922746
point,478.000,46.767,9.343,12.905,3.06749559,0.03742490,0.00485827,239,113.935929063,22.539923819
point,480.000,44.823,9.506,13.245,3.11513562,0.03730249,0.03004525,240,113.935910155,22.539925282
point,482.000,43.056,9.441,13.044,-3.08834884,-0.10438982,0.00837844,241,113.935892971,22.539924701
point,484.000,41.314,9.319,12.878,-2.98755836,0.05147810,0.03994334,242,113.935876026,22.539923602
point,486.000,39.433,8.878,13.233,-2.89355284,0.29119555,0.00931825,243,113.935857726,22.539919647
point,488.000,37.661,8.394,13.975,-3.04215932,0.05954864,0.08480851,244,113.935840497,22.539915292
point,490.000,35.870,8.523,13.446,-3.10538569,-0.48622579,0.05694598,245,113.935823072,22.539916454
point,492.000,34.261,8.270,12.321,-2.85826649,-0.33564437,0.05914668,246,113.935807424,22.539914185
point,494.000,32.499,7.542,12.268,-3.04800880,0.11657343,0.16225740,247,113.935790293,22.539907639
point,496.000,30.919,7.957,12.712,-3.05302372,0.15831630,0.15784879,248,113.935774917,22.539911367
point,498.000,29.094,7.239,12.809,-2.77818395,0.07011859,0.00571724,249,113.935757172,22.539904922
point,500.000,27.314,6.586,12.983,-2.61038188,0.10620850,0.08817301,250,113.935739861,22.539899053
point,502.000,25.819,5.315,13.212,-2.50542893,0.08364656,0.03397054,251,113.935725315,22.539887635
point,504.000,24.147,4.247,13.312,-2.58742561,-0.05880849,0.00736559,252,113.935709053,22.539878037
point,506.000,22.513,3.269,12.984,-2.71752080,-0.13743818,0.06192121,253,113.935693164,22.539869258
point,508.000,20.930,2.794,12.827,-2.71155506,-0.21052676,0.06479543,254,113.935677768,22.539864992
point,510.000,19.313,1.801,12.242,-2.73266216,-0.11442187,0.07161289,255,113.935662037,22.539856071
point,512.000,17.519,1.316,12.401,-2.83350018,0.14097256,0.02173998,256,113.935644591,22.539851713
point,514.000,15.739,0.664,12.771,-2.62575432,-0.00277795,0.08213467,257,113.935627278,22.539845855
point,516.000,14.257,-0.534,12.391,-2.32662117,-0.09377890,0.06630538,258,113.935612862,22.539835095
point,518.000,13.094,-2.142,12.410,-2.24229867,0.03283451,0.02279647,259,113.935601557,22.539820650
point,520.000,11.790,-3.638,12.521,-2.19575477,-0.06728195,0.04707006,260,113.935588870,22.539807211
point,522.000,10.830,-5.280,12.149,-2.19166622,-0.09598716,0.04498873,261,113.935579537,22.539792459
point,524.000,9.534,-6.792,12.149,-2.22968506,-0.19091382,0.02628262,262,113.935566926,22.539778874
point,526.000,8.513,-8.273,11.427,-2.33771850,-0.37055654,0.08577927,263,113.935556999,22.539765576
point,528.000,7.187,-9.228,10.896,-2.39225475,-0.09377487,0.05766850,264,113.935544100,22.539756997
point,530.000,5.912,-10.692,11.094,-2.25755964,0.09396262,0.01452512,265,113.935531704,22.539743840
